6.546867882537660277e-01,7.602715803536141959e-01,2.514516656659767646e-01,3.949867690190687064e-01,2.041450701029053905e-01,2.018338117217715055e-01,3.072515219264628783e-01,1.844380404820311625e-02
8.454008710850147157e-02,8.996606324638095620e-01,8.184306921449043815e-01,7.713265417997854367e-01,4.586261016720633021e-01,5.221577924820670624e-01,9.305830901926162024e-01,1.385919612556194558e-01
7.019886144394746896e-01,4.427221311250159053e-01,6.023627938988559416e-01,7.942446355373041778e-01,8.723271136412210636e-01,3.871218595670300466e-03,1.727377356497061811e-02,7.798483801756135314e-01
3.129275747343945868e-01,7.391838911479562402e-01,3.791219898353895834e-01,9.495810719055963744e-01,7.212639725041175565e-01,4.526039246446611486e-01,7.327422155594330855e-01,6.309555163166800096e-01
4.790763131779482986e-01,3.160579357057136107e-02,9.714405686999788569e-01,5.246343824254524613e-01,4.044012125557825410e-01,9.635422458343210206e-01,1.898158853797871082e-01,1.201129491141413874e-01
2.275927796211459908e-01,7.848089534744630003e-01,3.162916470782221046e-01,2.308394620210709736e-01,7.387827081989455369e-01,3.825606609683417370e-01,3.343287371252376960e-01,5.068872736338095875e-01
2.615598992843036763e-01,1.677793032309496946e-01,3.301652706327619091e-01,5.050807004064944428e-01,2.109266577299709899e-01,5.411114569510926398e-01,7.199431327618222021e-01,8.321679893772010450e-01
7.345392346336275802e-01,8.274088868079857439e-01,9.598675006592809478e-01,4.700577488600442555e-01,8.999808557187074509e-01,1.328071227449577618e-01,5.550228044049347886e-01,1.380763243624372194e-01
5.238339322101437379e-01,5.115304562880114148e-01,8.692915173745212609e-01,4.417021165482536427e-01,2.807586897245017976e-01,5.686388870742364876e-02,7.260490095785974152e-01,9.945032034733127801e-01
7.059288912009857864e-01,1.051865101712368133e-01,9.757542347446821474e-01,3.923017798560423097e-01,7.115654914386136953e-01,4.299830070816972327e-01,8.214989779803322234e-01,7.517478902303076360e-01
8.521506964572652665e-01,2.130444689190764684e-01,3.552850287709334864e-01,3.653404420045959222e-01,4.341221031715112311e-01,1.708216286074982770e-01,6.778168120338852187e-01,9.189393030199889401e-01
8.880475564624246143e-02,8.164343392386922416e-01,8.021109404506235885e-01,4.882725205380281652e-01,8.466675313706168993e-01,3.380619982518617839e-02,1.518917695062155238e-01,1.918923625283844858e-01
9.397493788026751727e-01,5.734143045822243101e-01,6.905555430386897120e-01,2.320651544907960107e-01,6.695442661101380644e-02,3.844482637597510521e-01,2.224855285434925722e-01,5.381114756206217820e-02
